family_id	category	from_pattern_or_token	to_pattern_or_token	scope	status	volumes_applied	reason_codes	implementation_location	evidence_doc	applied_count_current_release	residual_count_current_release	negative_controls	notes
structural_german_quote_hyphen_wrap	german_prose	line-wrap and quote/hyphen OCR damage	normal German prose	structural_context	applied	all	structural_german_quote_hyphen_wrap_direct;citation_english_spacing_loss_map;explicit_rastrapala_split_prev;explicit_rastrapala_split_curr	scripts/postprocess_entry_map.py	release/current/qa	7654	unknown	Tibetan/Sanskrit tokens	Represented here so status checks know these current-release correction reasons are intentional.
citation_name_author_normalisations	citation	citation/name OCR variants	canonical citation/name forms	citation_context	applied	all	citation_author_lexicon;citation_confusable_safe_map;citation_name_safe_map;citation_caps_name_normalize;citation_token_exact_safe_map;citation_phrase_safe_map;citation_name_and_sigla;citation_roman_l_to_I	scripts/postprocess_entry_map.py	release/current/qa	777	unknown	non-citation prose;Tibetan lexical tokens	Citation/name normalization is separate from Tibetan or Sanskrit lexical cleanup.
german_numeric_function_word_confusion	german_prose	German numeric/function-word OCR variants	German prose forms	german_prose_context	applied	all	german_numeric_function_word_confusion	scripts/postprocess_entry_map.py	release/current/qa	415	unknown	Tibetan/Sanskrit transliteration tokens	Current-release correction family outside the OCR-script cleanup queues.
tibetan_phrase_spacing_and_allowlists	tibetan_phrase	known Tibetan phrase/token spacing variants	reviewed Tibetan phrase forms	phrase_or_context_gate	applied	all	tibetan_translit_phrase_allowlist;tibetan_translit_ting_nge_dzin_phrase;tibetan_dang_phrase_override;tibetan_dang_witness_rewrite;reviewed_tibetan_exact_di_lta_spacing;reviewed_tibetan_exact_di_lta_bu_spacing;explicit_gans_ri;explicit_user_allowlist_in_tu	scripts/postprocess_entry_map.py;data/reviewed_tibetan_exact_overrides.tsv	docs/residual_error_family_research_2026-06-24.md;docs/tibetan_dan_dang_phrase_batch_2026-06-25.md	775	unknown	unreviewed spacing changes	Phrase-level Tibetan repairs are not broad whitespace rules.
contextual_confusable_headword_memory	contextual_confusable	headword/context-memory confusable tokens	contextually supported forms	headword_or_entry_context	applied	all	confusable_to_headword	scripts/postprocess_entry_map.py	release/current/qa	300	unknown	unanchored token replacements	Context-memory repairs are represented separately from broad character families.
residual_bucket_promote_candidates	residual_queue	bucket promote candidates	candidate exact/context promotions	review_queue	promote_candidate	none	none	release/current/qa/*/bucket_report.summary.md	release/current/qa	0	17	unreviewed token-level buckets	Promote candidates are residual review targets only until accepted into code or override TSVs.
dated_cleanup_reports	documentation	dated cleanup reports	historical audit records	documentation_only	historical_only	none	none	none	docs/*_2026-*.md	0	0	current operational status	Dated cleanup reports are historical records. `docs/STATUS.md` is the current operational status.
generic_dollar_to_sacute	dollar_to_sacute	$	ś	generic	unsafe_broad_rule	none	none	none	docs/STATUS.md	0	2229	all unreviewed $ tokens	Forbidden broad rule; only exact/guarded or siglum-reviewed rows may change.
generic_I_to_l	I_to_l	I	l	generic	unsafe_broad_rule	none	none	none	docs/STATUS.md	0	5781	Inhalt;Indien;Ich;Ingwer;International	Forbidden broad rule. Current initial-I cleanup is explicit-token, lexicon/context, or reviewed exact only.
validator_only_suggestions	validator	validator/canonicalisation suggestions	not correction evidence	reporting_only	false_positive_or_noise	none	none	release/current/qa/*/*_validator_issues.tsv	docs/STATUS.md;release/current/qa	0	21676	German/prose false positives;valid Tibetan/Wylie;sigla	Validator-only rows are diagnostics. They are not OCR-witness evidence by themselves.
