family_key	candidate_family	source_tokens	proposed_targets	occurrence_count	volume_count	sample_refs	sample_contexts	evidence_summary	confidence_summary	suggested_action
citation_or_siglum:tär:tar	citation_or_siglum	Tär (4)	Tār (4)	4	1	wts_35_51:18:74; wts_35_51:177:91; wts_35_51:217:54; wts_35_51:217:93	"beherrschend"" (Tär 12,20); bod —s rgan mo || (Tär 77,21). || sern Speise"" (Tär 150,10); sin cha gcod ~"	siglum_shape:4	policy:4	already_canonical_siglum
loc_nasal_damage:byuñń:byuñṅ	loc_nasal_damage	byuñń (4)	byuñṅ (4)	4	1	wts_35_51:269:46; wts_35_51:827:5; wts_35_51:829:8; wts_35_51:831:65	"byuñń na ""wenn es Nachbarn gibt, die beson- || ko ba bin ba'i sin po la sprin (r. ~) byuñń || ma chod byuñń ""erstens war ich unsicher, wie"	orthography_scan:4	low:2, medium:2	review
unknown:gz1:gzi	unknown	gZ1 (4)	gZi (4)	4	1	wts_35_51:198:62; wts_35_51:204:90; wts_35_51:206:67; wts_35_51:216:80	"und 'phra men"" (gZ1 2: 296,3). || Schiffe ankern [hier]"" (gZ1 1: 451,1). || nach unten fließt"" (gZ1 1: 505,6); $a la spyod"			siglum_policy_review
loc_nasal_damage:dbañń:dbañṅ	loc_nasal_damage	dbañń (3)	dbañṅ (3)	3	1	wts_35_51:145:14; wts_35_51:34:70; wts_35_51:145:14	"dban po dan / lce'i dban po dan / lus kyi dbañń || ces dbañń phyuggi bu Zig ""Kumära, Jan mukha, || dbaṅ po daṅ / lce'i dbaṅ po daṅ / lus kyi dbañń"	orthography_scan:2, google_unresolved_plus_orthography_scan:1	medium:3	review
loc_nasal_damage:gtsań:gtsaṅ	loc_nasal_damage	gtsań (3)	gtsaṅ (3)	3	1	wts_35_51:743:59; wts_35_51:867:71; wts_35_51:915:9	"Beispiel nimmt"" (KunK 16,12); gtsań gtsaṅ || gtsań po de la ñes gyod med par ~r thon par || ~ skyems daṅ bsos gtsań gis / kon tse 'dod"	orthography_scan:3	medium:3	review
loc_nasal_damage:phyuñń:phyuñṅ	loc_nasal_damage	phyuñń (3)	phyuñṅ (3)	3	1	wts_35_51:809:55; wts_35_51:1019:20; wts_35_51:1023:35	"pa'i sugs kyi ~ phyuñń nas ""aus der Kraft des || mi Zig kha drag po Zig gi sar yul phyuñń nas 'gro || phyun, phyun phyuñń."	orthography_scan:3	medium:3	review
loc_nasal_damage:snañń:snañṅ	loc_nasal_damage	snañń (3)	snañṅ (3)	3	1	wts_35_51:75:89; wts_35_51:634:87; wts_35_51:885:16	"snañń srid kba yo bsñom pa'i phyir (metr.) ""um || Leerheit decken sich"" (gZi 4: 276,1); snañń Ins || tshe Zes pa'an snañń ""Behälter phad go oder Be-"	orthography_scan:3	medium:3	review
loc_nasal_damage:sñiń:sñiṅ	loc_nasal_damage	sñiń (3)	sñiṅ (3)	3	1	wts_35_51:306:27; wts_35_51:373:35; wts_35_51:690:45	"sñiń po bzlas te ""so spreche man, klatsche in || (MTH3/5/30 b6); grams sñiń la babs na no || པདྨའི་སྙིང་པོ་ padma''i sñiń po npr. cin Buddha."	orthography_scan:3	medium:3	review
loc_nasal_damage:źiń:źiṅ	loc_nasal_damage	źiń (3)	źiṅ (3)	3	1	wts_35_51:668:71; wts_35_51:895:55; wts_35_51:1102:75	"źiń ""der Stengel schrumpft, schrumpft voll- || pa rgyus pas sbrel ba ~ (b)rkyans źiń tshur || khye'n ...chos gos kyi grwa nas 'jus te de ~ źiń"	orthography_scan:3	medium:2, low:1	review
citation_or_siglum:käsy:kasy	citation_or_siglum	Käsy (2)	Kāśy (2)	2	1	wts_35_51:90:11; wts_35_51:145:26	"schätzt die Wahrheit"" (Käsy 50,30); no bo || Welt Yamas und die Asuras"" (Käsy 155,26);"	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:upameläpaka:upamelapaka	citation_or_siglum	upameläpaka (2)	upamelāpaka (2)	2	1	wts_35_51:177:28; wts_35_51:177:33	"""melapaka und upameläpaka, smasäna und u- || upameläpaka bekannt"" (Samv 9.23c)."	siglum_shape:2	policy:2	already_canonical_siglum
citation_or_siglum:vist:vist	citation_or_siglum	VisT (1), ViST (1)	ViśT (2)	2	1	wts_35_51:145:73; wts_35_51:164:10	"vorbringen und zeugen"" (VisT 182,21); 7/ || tama die Einsiedelei"" (ViST 114,19); skyes bu"	sigla_registry:2	policy:2	siglum_policy_review
dngos_family:dnos:dṅos	dngos_family	dnos (2)	dṅos (2)	2	1	wts_35_51:47:86; wts_35_51:48:1	"dnos por bcom Idan ""das kyis la lar gsuns pa || བདག་ཉིད་ཀྱི་དངོས bdag ñid kyi dnos"	google_blocked_wrong_target_plus_language_knowledge:2	medium:1, high:1	review
google_tibetan_diacritic_disagreement:nani:naṅ	google_tibetan_diacritic_disagreement	nani (2)	naṅ (2)	2	1	wts_35_51:18:79; wts_35_51:164:45	"kla klo 'di mmams nani 'khrug gis gud de ""die || 45,2); phyi nani kun tu 'bar gyin— / der Iha"	google_unresolved_tibetan_context:2	medium:2	review
google_tibetan_diacritic_disagreement:zes:źes	google_tibetan_diacritic_disagreement	Zes (2)	źes (2)	2	1	wts_35_51:73:28; wts_35_51:177:36	"ña btul ba'i ... le'u Zes bya ba ste beu ~o ""das || grol ba dan ni rigs dan imndzod / — Zes pa"	google_unresolved_tibetan_context:2	medium:2	review
loc_nasal_damage:'gyañńs:'gyañṅs	loc_nasal_damage	'gyañńs (2)	'gyañṅs (2)	2	1	wts_35_51:896:15; wts_35_51:1007:36	"ཕར་འགྱང་ phar 'gaṅ auch phar 'gyañńs Auf- || Lex. phar 'gyañńs su btan ba ""hinausgescho-"	orthography_scan:2	medium:2	review
loc_nasal_damage:brań:braṅ	loc_nasal_damage	brań (2)	braṅ (2)	2	1	wts_35_51:817:22; wts_35_51:941:33	bäugs pa'i pho brań sa ~r ñi Su rtsa geig bäugs || ཕོ་བྲང་འཁོར་མེོ་ pho brań 'kbor mo Bez. für die	orthography_scan:2	medium:2	review
loc_nasal_damage:bzuñń:bzuñṅ	loc_nasal_damage	bzuñń (2)	bzuñṅ (2)	2	1	wts_35_51:248:43; wts_35_51:641:57	"ba ran phyis rgya cher skyed nas ~ gis bzuñń || lag pas chos gos ~ bzuñń nas ""sie halten mit der"	orthography_scan:2	medium:2	review
loc_nasal_damage:dań:daṅ	loc_nasal_damage	dań (2)	daṅ (2)	2	1	wts_35_51:214:49; wts_35_51:531:41	191,17); ba ~ gñan dań thag bsrins la (metr.) || kbri do re smyah zun dań / ~ sña do re	orthography_scan:2	medium:1, low:1	review
loc_nasal_damage:goń:goṅ	loc_nasal_damage	goń (2)	goṅ (2)	2	1	wts_35_51:122:14; wts_35_51:1108:8	"ten"" (MTH3/5/9 5); goń bkod drag Zan su'i || 220); goń po (Mim2 220); rkan pa gñis khums"	orthography_scan:2	medium:2	review
loc_nasal_damage:gtsañń:gtsañṅ	loc_nasal_damage	gtsañń (2)	gtsañṅ (2)	2	1	wts_35_51:241:3; wts_35_51:908:69	"Mönchsgelübde ab"" (Bu-śz 104,12); gtsañń po || bzo bkod gad gtsañń bgyis ""erledigt die not-"	orthography_scan:2	medium:2	review
loc_nasal_damage:gźunń:gźunṅ	loc_nasal_damage	gźunń (2)	gźunṅ (2)	2	1	wts_35_51:166:17; wts_35_51:816:66	"1: 488,4); shar phan gźunń 7?/// chu ma rnams || nen gering"" (""Dzam 38,12); mdo snags gźunń"	orthography_scan:2	medium:2	review
loc_nasal_damage:rgyañń:rgyañṅ	loc_nasal_damage	rgyañń (2)	rgyañṅ (2)	2	1	wts_35_51:98:71; wts_35_51:207:43	(Vdk-M 119,31); lug rdzis ~ rgyañń gsum du || de'i nari nas Zugs mar ~ ba Zig rgyañń nas gda'	orthography_scan:2	medium:2	review
loc_nasal_damage:sań:saṅ	loc_nasal_damage	sań (2)	saṅ (2)	2	1	wts_35_51:274:45; wts_35_51:851:67	"rgya'i ba sań lha khan bzens ""um zu süh- || gtsug lag khani bźa sań gre ma na spruld pa g"	orthography_scan:2	medium:2	review
unknown:lsdz:lsdz	unknown	Lsdz (2)	Lśdz (2)	2	1	wts_35_51:29:58; wts_35_51:606:25	"Lsdz 119,1). he || in einem Park mit schönen Blumen"" (Lsdz"			siglum_policy_review
unknown:sambh:sambh	unknown	Sambh (2)	Śambh (2)	2	1	wts_35_51:513:24; wts_35_51:924:45	"im Norden liegt dieses Schneeland"" (Sambh || stücke an die Mönchsgemeinden"" (Sambh"			siglum_policy_review
citation_or_siglum:61:vis	citation_or_siglum	61 (1)	Vis (1)	1	1	wts_35_51:206:21	"dementsprechend"" (\/¡61' 216,6); Ins 'di ..."	sigla_registry:1	policy:1	already_canonical_siglum
citation_or_siglum:acalä:acala	citation_or_siglum	Acalä (1)	Acalā (1)	1	1	wts_35_51:177:32	Bodhisattvastufe] Düramgamä, als Acalä ist	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:ahalyä:ahalya	citation_or_siglum	Ahalyä (1)	Ahalyā (1)	1	1	wts_35_51:164:9	sich mit Ahalyä zu vergnügen, betrat Gau-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:ander:saknth	citation_or_siglum	ander (1)	SakNth (1)	1	1	wts_35_51:890:19	"ander"" (Udr 28,34); — rtsod pa byed pas ni /"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:bzag:bzag	citation_or_siglum	bZag (1)	bZag (1)	1	1	wts_35_51:18:6	"Lex. stegs ""Gestell"" (Dagy); Ihun bzed bZag"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:bzam:bzam	citation_or_siglum	bZam (1)	bZam (1)	1	1	wts_35_51:90:88	"gelobt"" (PT1287 450); khyod kyis bZam pa —"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:bzugs:bzugs	citation_or_siglum	bZugs (1)	bZugs (1)	1	1	wts_35_51:18:27	tshal stug bZugs pa yi / ri dags — rnams (metr.)	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:dasy:brda	citation_or_siglum	Dasy (1)	brDa (1)	1	1	wts_35_51:40:53	(Dasy).	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:gegenseitigen:ki	citation_or_siglum	gegenseitigen (1)	KI (1)	1	1	wts_35_51:890:60	stück, zu dem die beiden gegenseitigen	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:ger:ger	citation_or_siglum	GER (1)	GER (1)	1	1	wts_35_51:206:75	GER 2006: 115) oder eine Mutmaßung bzw.	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:gzer:gzer	citation_or_siglum	gZer (1)	gZer (1)	1	1	wts_35_51:40:34	"sind eine Fußfessel für die Befreiung"" (gZer"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:gñis:brda	citation_or_siglum	gñis (1)	brDa (1)	1	1	wts_35_51:247:12	thug (r. thub) dkar po smug po gñis / ~ des	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:herabhangen:herabhangen	citation_or_siglum	herabhāngen (1)	herabhāngen (1)	1	1	wts_35_51:40:82	sein Ohr binden und es herabhāngen lassen;	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:ins:ins	citation_or_siglum	Ins (1)	Ins (1)	1	1	wts_35_51:206:21	"dementsprechend"" (\/¡61' 216,6); Ins 'di ..."	sigla_registry:1	policy:1	already_canonical_siglum
citation_or_siglum:kusa:kusa	citation_or_siglum	Kusa (1)	Kuśa (1)	1	1	wts_35_51:206:46	"wie die Spitze des Kusa[-Grases]"" (TsKh 2:"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:kävyäd:kavyad	citation_or_siglum	Kävyäd (1)	Kāvyād (1)	1	1	wts_35_51:145:82	(Kävyäd 1.91a); bka' broyud chen po — byun	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:liyl:liyl	citation_or_siglum	Liyl (1)	Liyl (1)	1	1	wts_35_51:145:70	"nie gesehen haben, ist gekommen"" (Liyl"	sigla_registry:1	policy:1	already_canonical_siglum
citation_or_siglum:lokessvara:lokessvara	citation_or_siglum	Lokes$vara (1)	Lokesśvara (1)	1	1	wts_35_51:206:18	"dan — la (metr.) ""Lokes$vara ist friedvoll und"	siglum_shape:1	policy:1	siglum_policy_review
citation_or_siglum:mahä:maha	citation_or_siglum	Mahä (1)	Mahā (1)	1	1	wts_35_51:177:79	"230); ""dus pa chen rin po che tog ski. Mahä-"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:melapaka:melapaka	citation_or_siglum	melapaka (1)	melāpaka (1)	1	1	wts_35_51:177:28	"""melapaka und upameläpaka, smasäna und u-"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:meläpaka:melapaka	citation_or_siglum	meläpaka (1)	melāpaka (1)	1	1	wts_35_51:177:31	"8.y0 bar grags he — (metr.) ""meläpaka ist [die"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:märas:maras	citation_or_siglum	Märas (1)	Māras (1)	1	1	wts_35_51:18:51	"unheilstiftender Märas usw."" (Samv 13.24a);"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:räg:rag	citation_or_siglum	Räg (1)	Rāg (1)	1	1	wts_35_51:90:63	"tä"" (Räg 69,8); — par skad cig kyan grub pa"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:s:s	citation_or_siglum	s (1)	S (1)	1	1	wts_35_51:145:57	solchem Maße; —s auf diese Weise.	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:sahasrikä:sahasrika	citation_or_siglum	sahasrikä (1)	sāhasrikā (1)	1	1	wts_35_51:164:19	"sahasrikä Prajiapäramitä"" (1SK 1: 215,1,6);"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:sarinipata:sarinipata	citation_or_siglum	sarinipāta (1)	sarinipāta (1)	1	1	wts_35_51:177:66	"bindung und Vereinigung (skt. sarinipāta)"""	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:schwisger:schwieger	citation_or_siglum	Schwisger (1)	SCHWIEGER (1)	1	1	wts_35_51:164:80	tiv (Schwisger 2006: 106-110), kann mit	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:scrwir:schwie	citation_or_siglum	Scrwir (1)	SCHWIE (1)	1	1	wts_35_51:206:74	ohne dan eine Wahrscheinlichkeit (Scrwir-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:sin:sin	citation_or_siglum	Sin (1)	śin (1)	1	1	wts_35_51:164:91	"Hof auf"" (Prav 4,8); Sin ... sbrul mams kyis"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:smasäna:smasana	citation_or_siglum	smasäna (1)	śmaśāna (1)	1	1	wts_35_51:177:28	"""melapaka und upameläpaka, smasäna und u-"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:tä:ta	citation_or_siglum	tä (1)	tā (1)	1	1	wts_35_51:90:63	"tä"" (Räg 69,8); — par skad cig kyan grub pa"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:ägamayamänas:tisthati	citation_or_siglum	ägamayamänas (1)	tiṣṭhati (1)	1	1	wts_35_51:164:73	Lex. sdod cin — 2 ägamayamänas tisthati //-	siglum_shape:1	policy:1	already_canonical_siglum
dollar_ś:'s:'s	dollar_ś	'$ (1)	'ś (1)	1	1	wts_35_51:842:25	སྤྲས་ spras pf. zu ། '$/077/ schmücken, verzieren;	orthography_scan:1	medium:1	review
dollar_ś:9s:9s	dollar_ś	9$ (1)	9ś (1)	1	1	wts_35_51:890:74	Ze sdan la 7//9$ par gzigs = anyonyavivāda-	google_unresolved_plus_orthography_scan:1	medium:1	review
dollar_ś:sa:sa	dollar_ś	$a (1)	śa (1)	1	1	wts_35_51:206:67	"nach unten fließt"" (gZ1 1: 505,6); $a la spyod"	google_unresolved_plus_orthography_scan:1	medium:1	review
dollar_ś:sin:sin	dollar_ś	$in (1)	śin (1)	1	1	wts_35_51:145:19	"sin bal las byas pa $in tu phra ba ""alle Arten"	google_unresolved_plus_orthography_scan:1	medium:1	review
dollar_ś:srt:srt	dollar_ś	$rT (1)	śrT (1)	1	1	wts_35_51:692:72	(Bu-śz 104,12); — Säkya $rT la sogs pa mikhas	orthography_scan:1	medium:1	review
google_tibetan_diacritic_disagreement:a-za:a-źa	google_tibetan_diacritic_disagreement	A-Za (1)	A-źa (1)	1	1	wts_35_51:206:65	"gleiche 'A-Za"" (gZer 594,6); chu ... og tu mi"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:aid:ñid	google_tibetan_diacritic_disagreement	Aid (1)	ñid (1)	1	1	wts_35_51:18:42	"khro bo Aid (metr.) ""um die Gefährlichen"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:biin:bźin	google_tibetan_diacritic_disagreement	biin (1)	bźin (1)	1	1	wts_35_51:164:76	'dug biin pa (Dagy); — gin pa = sdod bzin	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:bin:bźin	google_tibetan_diacritic_disagreement	bin (1)	bźin (1)	1	1	wts_35_51:18:36	phan tshun mthun pa ma yin bin (metr.)	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:bkth-2:bkth-ź	google_tibetan_diacritic_disagreement	bKth-2 (1)	bKth-Ź (1)	1	1	wts_35_51:18:68	"ten Kon-rje, die sehr bösartig sind"" (bKth-2"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:bzag:bźag	google_tibetan_diacritic_disagreement	bZag (1)	bźag (1)	1	1	wts_35_51:145:40	ñas chos gdags pa rnam par bZag pa ~ / mdo'i	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:den:deṅ	google_tibetan_diacritic_disagreement	den (1)	deṅ (1)	1	1	wts_35_51:164:65	1: 297,3); den sañ phal ches ... nom chos su	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:des:rtsiṅ	google_tibetan_diacritic_disagreement	des (1)	rtsiṅ (1)	1	1	wts_35_51:247:12	thug (r. thub) dkar po smug po gñis / ~ des	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:gäis:gźis	google_tibetan_diacritic_disagreement	gäis (1)	gźis (1)	1	1	wts_35_51:164:61	"gegeben"" (""Dzam 19,15); mchod gäis phran"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:han:ñan	google_tibetan_diacritic_disagreement	han (1)	ñan (1)	1	1	wts_35_51:164:55	cad na la kha han gton gin — / has kyan khon	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:khros:sñiñ	google_tibetan_diacritic_disagreement	khros (1)	sñiñ (1)	1	1	wts_35_51:890:12	mi mthun khros pa'i sems dan ldan gyur pa	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:ldan:gñer	google_tibetan_diacritic_disagreement	ldan (1)	gñer (1)	1	1	wts_35_51:890:12	mi mthun khros pa'i sems dan ldan gyur pa	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:mron:mṅon	google_tibetan_diacritic_disagreement	mron (1)	mṅon (1)	1	1	wts_35_51:90:52	"rnam pa ben drug mron du byas ""ihm wur-"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:ra:rṅa	google_tibetan_diacritic_disagreement	ra (1)	rṅa (1)	1	1	wts_35_51:164:26	"rung"" (Padm 29662); rdza ra la sogs brduns"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:ra:ṅa	google_tibetan_diacritic_disagreement	ra (1)	ṅa (1)	1	1	wts_35_51:145:63	"artigen Strophen"" (Suv 19,10); ra la skyes"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:ru:ṅu	google_tibetan_diacritic_disagreement	ru (1)	ṅu (1)	1	1	wts_35_51:40:71	"chu tshod kyi snod ""dra ba chun ru byas te"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:sam:sñam	google_tibetan_diacritic_disagreement	sam (1)	sñam (1)	1	1	wts_35_51:90:20	"sam pa dan ""König Sikhandin dachte: 'Das"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:shan:sñan	google_tibetan_diacritic_disagreement	shan (1)	sñan (1)	1	1	wts_35_51:145:68	bdag cag gis shan ma mthon ba'i mi ~ Zig	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:sie:sñe	google_tibetan_diacritic_disagreement	sie (1)	sñe (1)	1	1	wts_35_51:90:49	"weit'"" (Mil 43,19); las 'bras — pa'i sie ma"	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:sin:siṅ	google_tibetan_diacritic_disagreement	sin (1)	śiṅ (1)	1	1	wts_35_51:217:6	(Udr 22,27); sin rta — pa'i phyngs dag gi /	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:tsbon:tshoṅ	google_tibetan_diacritic_disagreement	tsbon (1)	tshoṅ (1)	1	1	wts_35_51:164:24	"tsbon ma de ru Zin phyag 'tshal — (metr.) ""die"	google_unresolved_tibetan_context:1	medium:1	review
